Rank;Club;Elo;
397;Varazdin;1342;
398;Fredericia;1341;
399;Heracles;1341;
400;Kayseri;1341;
401;Koper;1339;
402;Debrecen;1339;
403;Amiens;1338;
404;Sheriff;1337;
405;Trnava;1334;
406;Zilina;1333;
407;Viitorul;1333;
408;Volendam;1333;
409;Mladá Boleslav;1332;
410;Dynamo Makhachkala;1331;
411;Grasshoppers;1331;
412;Cherno More;1330;
413;Kristiansund;1329;
414;Antalyaspor;1328;
415;Osijek;1327;
416;Orenburg;1325;
417;Arka;1325;
418;Kosice;1324;
419;Bryne;1323;
420;Pescara;1322;
421;Zira;1320;
422;Nizhny Novgorod;1320;
423;Telstar;1320;
424;Asteras;1319;
425;Bohemians Praha;1319;
426;Botosani;1319;
427;Pardubice;1318;
428;Olimpija Ljubljana;1317;
429;Nieciecza;1317;
430;Zalaegerszeg;1315;
431;Nakchivan;1315;
432;Panaitolikos;1313;
433;Shamrock;1313;
434;Sabah;1313;
435;UTA Arad;1312;
436;AVS Futebol;1311;
437;Sochi;1310;
438;Ried;1309;
439;Breda;1308;
440;Kuopio;1306;
441;Tescoma Zlin;1306;
442;Slovácko;1305;
443;Noah;1301;
444;Volos;1301;
445;Kryvbas;1300;
446;Slaven Belupo;1295;
447;Kairat;1294;
448;Wattens;1292;
449;St Mirren;1291;
450;Pyunik;1289;
451;Kolos;1289;
452;Halmstad;1289;
453;Altach;1288;
454;Brommapojkarna;1288;
455;Novi Sad;1288;
456;Metalist 1925;1286;
457;Falkirk;1285;
458;Vaduz;1285;
459;Aberdeen;1285;
460;Víkingur;1285;
461;Winterthur;1284;
462;Zrinjski Mostar;1284;
463;FK Riga;1283;
464;H Tel Aviv;1283;
465;Strømsgodset;1283;
466;Kifisias;1282;
467;Dundee United;1282;
468;Norrköping;1280;
469;LNZ;1280;
470;Fatih Karagümrük;1280;
471;St. Patrick’s;1278;
472;Arges Pitesti;1277;
473;MTK;1274;
474;Diósgyőr;1273;
475;Aarau;1272;
476;Dukla;1271;
477;Kisvarda;1270;
478;Bnei Sakhnin;1270;
479;Hapoel Jerusalem;1265;
480;CSKA 1948 Sofia;1264;
481;Netanya;1264;
482;Petrolul Ploiesti;1262;
483;Újpest;1262;
484;Larisa;1261;
485;HNK Gorica;1260;
486;Degerfors;1259;
487;Arda;1258;
488;Dundee;1258;
489;Karpaty;1257;
490;BW Linz;1257;
491;Zorya;1257;
492;GAK;1256;
493;Rukh Lviv;1252;
494;Drita;1251;
495;HJK Helsinki;1250;
496;Hapoel Haifa;1249;
497;Ararat;1249;
498;Kilmarnock;1247;
499;Öster;1244;
500;Oleksandriya;1243;
501;Aktobe;1243;
502;Shkendija;1242;
503;Varnamo;1242;
504;Shelbourne;1241;
505;Bravo;1237;
506;Nyiregyhaza;1236;
507;Derry City;1234;
508;Breiðablik;1231;
509;Hermannstadt;1231;
510;Slavia Sofia;1224;
511;Hapoel Petah Tikva;1223;
512;Veres;1223;
513;RFS;1222;
514;Željezničar;1218;
515;Haugesund;1217;
516;Csikszereda;1215;
517;Novi Pazar;1214;
518;FK Sarajevo;1211;
519;Valur;1211;
520;Panserraikos;1211;
521;Borac Banja Luka;1211;
522;Lok Sofia;1209;
523;Ilves Tampere;1209;
524;Kragujevac;1208;
525;Ironi Tiberias;1207;
526;Cukaricki;1204;
527;Kazincbarcika;1204;
528;Dinamo Minsk;1203;
529;Ordabasy;1202;
530;Lokomotiv Plovdiv;1201;
531;Backa Topola;1200;
532;Akureyri;1199;
533;Radomlje;1198;
534;Zeleznicar Pancevo;1195;
535;Botev Plovdiv;1194;
536;Obolon;1191;
537;Klaksvík;1189;
538;Ballkani;1188;
539;Seinajoki;1187;
540;Unirea Slobozia;1185;
541;Dinamo Tirana;1184;
542;Ashdod;1182;
543;Banants;1182;
544;Auda;1179;
545;Neman Grodna;1179;
546;Daugavpils;1172;
547;OFK;1168;
548;Kiryat Shmona;1168;
549;Zalgiris Vilnius;1168;
550;Mura;1161;
551;Torpedo Kutaisi;1160;
552;Petrocub;1159;
553;Partizani Tirana;1159;
554;Egnatia;1158;
555;Aluminij;1155;
556;Mladost Lucani;1154;
557;Botev Vratsa;1153;
558;FC Spaeri;1150;
559;Metaloglobus;1150;
560;Dila Gori;1149;
561;Saburtalo;1149;
562;Vllaznia;1146;
563;Livingston;1144;
564;Primorje;1144;
565;Maccabi Bnei Raina;1137;
566;Beroe Stara Zagora;1134;
567;Levski Krumovgrad;1132;
568;Kauno Zalgiris;1131;
569;Flora Tallinn;1130;
570;Episentr;1129;
571;Radnik Surdulica;1129;
572;Kudrivka;1126;
573;Spartak Varna;1126;
574;Dinamo Brest;1125;
575;IMT;1125;
576;Vukovar;1124;
577;Zimbru;1122;
578;Hamrun;1117;
579;Niš;1117;
580;Domžale;1115;
581;Linfield;1113;
582;Banga;1112;
583;Tarpeda Zhodzina;1110;
584;Septemvri Sofia;1108;
585;Ivanjica;1108;
586;Milsami;1106;
587;Vardar;1106;
588;Hegelmann;1106;
589;Zlatibor;1103;
590;Decic;1098;
591;Sileks;1097;
592;SK Poltava;1091;
593;Rabotnicki;1088;
594;Prishtine;1083;
595;Paide Linnameeskond;1083;
596;Sutjeska;1082;
597;Nomme Kalju;1067;
598;The New Saints;1066;
599;Lincoln;1065;
600;Montana;1065;
601;Differdang;1064;
602;Floriana;1063;
603;Larne;1059;
604;Blagoevgrad;1058;
605;Malisheva;1056;
606;R Letzebuerg;1056;
607;Hibernians Paola;1055;
608;Kruševac;1055;
609;Dobrudzha;1053;
610;Dungannon;1052;
611;Birkirkara;1051;
612;FC Infonet;1050;
613;HB Tórshavn;1050;
614;Una Strassen;1048;
615;Hebar;1041;
616;Runavík;1039;
617;Dudelange;1036;
618;Podgorica;1035;
619;Gøta;1033;
620;Cliftonville;1033;
621;Escaldes;1002;
622;Penybont;988;
623;Haverfordwest;985;
624;St Josephs;968;
625;Santa Coloma;954;
626;Atletic Club Escaldes;944;
627;FCB Magpies;935;
628;SS Virtus;768;
629;Tre Fiori;736;
630;La Fiorita;716;
;;;
;;;
